,R,T,m,s,mutations,survival_mean,survival_var,absorption,fixation,generations,organism_count,l,correlation_length,correlation_time,seed,dfit,N,k,b,files,creature
1,13.0,10.317484457222394,0.1283465507884712,0.018215919957076436,3.0,9005.1,8908434.09,0.00035087719298245617,3.0,18.0,2.0,64.0,20.0,1000.0,188.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s188l64L20T1000N100_c2_parameters.csv,c2
1,13.0,10.0,0.12411072071314633,0.01725122452165291,2.0,8011.9,15810177.690000001,0.00035087719298245617,2.0,14.0,2.0,64.0,20.0,1000.0,302.0,0.0,1000.0,1.0,1.0,two_depletion_nutrient_B_s302l64L20T1000N1000_c2_parameters.csv,c2
1,18.137041537652152,9.9277327468683,0.11738107681073114,0.015681257688160786,8.0,10000.0,0.0,0.00035087719298245617,1.0,50.0,2.0,64.0,20.0,500.0,28.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s28l64L20T500N10_c2_parameters.csv,c2
1,14.638802252479922,11.185407127414084,0.11761994480529617,0.015,4.0,10000.0,0.0,0.00035087719298245617,1.0,35.0,2.0,64.0,10.0,500.0,364.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s364l64L10T500N10000_c1_parameters.csv,c1
1,13.0,10.0,0.1240177996441331,0.019235672808889822,4.0,10000.0,0.0,0.00035087719298245617,1.0,18.0,2.0,64.0,30.0,1000.0,77.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s77l64L30T1000N10_c2_parameters.csv,c2
1,8.954698272470324,11.363808098083185,0.13388287798851392,0.020921915565794515,11.0,10000.0,0.0,0.00035087719298245617,1.0,44.0,2.0,64.0,15.0,500.0,133.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s133l64L15T500N100_c1_parameters.csv,c1
1,7.664736492628809,19.065797158774735,0.17422136016450068,0.15776729180597654,525.0,10000.0,0.0,0.00035087719298245617,162.0,918.0,2.0,64.0,15.0,10000.0,456.0,-16.262333333333117,10000.0,1.0,1.0,two_depletion_nutrient_B_s456l64L15T10000N10000_c1_parameters.csv,c1
1,12.12138106566763,10.0,0.1179167452396417,0.015,4.0,10000.0,0.0,0.00035087719298245617,1.0,53.0,2.0,64.0,30.0,500.0,157.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s157l64L30T500N100_c2_parameters.csv,c2
1,13.534717257039233,9.777065487448297,0.12373798761795887,0.02089561256472472,58.0,266.6,1669.64,0.00035087719298245617,0.0,495.0,2.0,64.0,10.0,10000.0,562.0,10.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s562l64L10T10000N100000_c2_parameters.csv,c2
1,11.900636985465889,10.0,0.11141225629501632,0.015,4.0,10000.0,0.0,0.00035087719298245617,1.0,26.0,2.0,64.0,15.0,500.0,378.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s378l64L15T500N10000_c2_parameters.csv,c2
1,13.0,10.0,0.15068556991141455,0.02164500537704373,4.0,10000.0,0.0,0.00035087719298245617,1.0,15.0,2.0,64.0,15.0,500.0,16.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s16l64L15T500N10_c2_parameters.csv,c2
1,15.850447981242988,10.0,0.13524311362250455,0.018893834863954944,4.0,10000.0,0.0,0.00035087719298245617,1.0,21.0,2.0,64.0,20.0,500.0,143.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s143l64L20T500N100_c2_parameters.csv,c2
1,45.394321937624646,7.856411092986601,0.06669978053311587,0.016786501988306512,261.0,159.9,1108.2900000000002,0.00035087719298245617,3.0,848.0,2.0,64.0,20.0,10000.0,224.0,0.3898333333333426,100.0,1.0,1.0,two_depletion_nutrient_B_s224l64L20T10000N100_c1_parameters.csv,c1
1,12.610569655250856,9.880320991323625,0.12945075288576022,0.018050763627279934,8.0,10000.0,0.0,0.00035087719298245617,1.0,80.0,2.0,64.0,15.0,1000.0,415.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s415l64L15T1000N10000_c2_parameters.csv,c2
1,12.636876217633626,10.0,0.10449157314180031,0.015934092048840862,5.0,10000.0,0.0,0.00035087719298245617,1.0,73.0,2.0,64.0,10.0,500.0,124.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s124l64L10T500N100_c2_parameters.csv,c2
1,13.123913382287896,7.089196542313377,0.1154283943839081,0.01761919619217713,11.0,10000.0,0.0,0.00035087719298245617,1.0,42.0,2.0,64.0,30.0,1000.0,79.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s79l64L30T1000N10_c1_parameters.csv,c1
1,13.0,10.0,0.11888800651546931,0.015,2.0,10000.0,0.0,0.00035087719298245617,1.0,16.0,2.0,64.0,15.0,1000.0,173.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s173l64L15T1000N100_c2_parameters.csv,c2
1,13.0,10.0,0.15,0.024728379907076135,3.0,10000.0,0.0,0.00035087719298245617,1.0,8.0,2.0,64.0,10.0,500.0,122.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s122l64L10T500N100_c1_parameters.csv,c1
1,12.475062240333864,11.622475089566901,0.13724548525147387,0.021452295323025942,7.0,10000.0,0.0,0.00035087719298245617,1.0,58.0,2.0,64.0,10.0,1000.0,43.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s43l64L10T1000N10_c2_parameters.csv,c2
1,13.0,9.601615013155856,0.15,0.02330363536243003,8.0,9006.9,8876228.49,0.00035087719298245617,1.0,68.0,2.0,64.0,20.0,1000.0,304.0,0.0,1000.0,1.0,1.0,two_depletion_nutrient_B_s304l64L20T1000N1000_c1_parameters.csv,c1
1,15.518651694510964,10.0,0.11694255446414388,0.017283259750766024,4.0,10000.0,0.0,0.00035087719298245617,1.0,37.0,2.0,64.0,15.0,1000.0,54.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s54l64L15T1000N10_c2_parameters.csv,c2
1,14.045256845128852,9.706063664875447,0.10226370181463244,0.015,6.0,10000.0,0.0,0.00035087719298245617,3.0,58.0,2.0,64.0,20.0,1000.0,422.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s422l64L20T1000N10000_c1_parameters.csv,c1
1,14.131628133575191,11.19617775750902,0.0466416215203595,0.03961861591243746,99.0,10000.0,0.0,0.00035087719298245617,0.0,617.0,2.0,64.0,20.0,10000.0,222.0,-7.470767908309426,100.0,1.0,1.0,two_depletion_nutrient_B_s222l64L20T10000N100_c1_parameters.csv,c1
1,15.365343838768446,9.67825150848488,0.12408058853369597,0.01687658252409145,8.0,10000.0,0.0,0.00035087719298245617,1.0,48.0,2.0,64.0,30.0,1000.0,199.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s199l64L30T1000N100_c2_parameters.csv,c2
1,29.721242102260447,6.62668770557947,0.05608355374867365,0.01654848763399854,376.0,1251.8,8504746.760000002,0.00035087719298245617,0.0,827.0,2.0,64.0,15.0,10000.0,214.0,-1.113872874686649,100.0,1.0,1.0,two_depletion_nutrient_B_s214l64L15T10000N100_c1_parameters.csv,c1
1,12.21676124890493,11.077365735084912,0.1073554976832182,0.015,6.0,10000.0,0.0,0.00035087719298245617,1.0,44.0,2.0,64.0,15.0,500.0,133.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s133l64L15T500N100_c2_parameters.csv,c2
1,13.172644257330314,12.702434315023487,0.13598008775503387,0.02139290357113367,9.0,10000.0,0.0,0.00035087719298245617,1.0,35.0,2.0,64.0,15.0,1000.0,536.0,0.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s536l64L15T1000N100000_c2_parameters.csv,c2
1,11.455561099998844,8.3987336086126,0.13849828401693418,0.020211127936755446,7.0,10000.0,0.0,0.00035087719298245617,1.0,43.0,2.0,64.0,30.0,1000.0,194.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s194l64L30T1000N100_c2_parameters.csv,c2
1,5.1126879682532875,13.425111704037407,0.07581974571302923,0.06519448564222091,116.0,10000.0,0.0,0.00035087719298245617,0.0,1049.0,2.0,64.0,30.0,10000.0,599.0,0.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s599l64L30T10000N100000_c2_parameters.csv,c2
1,13.0,10.0,0.11748726299492675,0.01609565488427806,3.0,10000.0,0.0,0.00035087719298245617,1.0,45.0,2.0,64.0,15.0,500.0,493.0,0.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s493l64L15T500N100000_c1_parameters.csv,c1
1,12.132145506984166,13.352814180475624,0.05959480354168121,0.024365539806124714,566.0,10000.0,0.0,0.00035087719298245617,1.0,1318.0,2.0,64.0,30.0,10000.0,592.0,-15.313333333332594,100000.0,1.0,1.0,two_depletion_nutrient_B_s592l64L30T10000N100000_c2_parameters.csv,c2
1,30.737485137154522,33.09201365083469,0.041848560982879625,0.022847196006512277,132.0,9186.8,3852546.7600000007,0.00035087719298245617,8.0,395.0,2.0,64.0,15.0,10000.0,215.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s215l64L15T10000N100_c2_parameters.csv,c2
1,14.996802001043251,7.324314711310361,0.12382145333809916,0.0175943134964184,5.0,10000.0,0.0,0.00035087719298245617,1.0,32.0,2.0,64.0,30.0,1000.0,439.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s439l64L30T1000N10000_c2_parameters.csv,c2
1,13.0,9.806900603709208,0.11486027604117133,0.015,3.0,10000.0,0.0,0.00035087719298245617,1.0,27.0,2.0,64.0,20.0,1000.0,187.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s187l64L20T1000N100_c2_parameters.csv,c2
1,13.0,8.531618459185028,0.11906114593551824,0.015,3.0,10000.0,0.0,0.00035087719298245617,1.0,30.0,2.0,64.0,15.0,500.0,375.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s375l64L15T500N10000_c2_parameters.csv,c2
