"","X","R","T","m","s","mutations","survival_mean","survival_var","absorption","fixation","generations","organism_count","l","correlation_length","correlation_time","seed","dfit","N","k","b","files","seed2","mean_mass","var_mass","mean_volume","var_volume","mean_density","var_density","mean_centroid_x","var_centroid_x","mean_centroid_y","var_centroid_y","mean_nutrient","var_nutrient","snap_centroid_x","snap_var_x","snap_centroid_y","snap_var_y","snap_mass","snap_volume","final_nutrient","snap_density","qualitative"
"56",55,11.8983308276269,10.3569125848436,0.100333150807235,0.018870175234087,13,9043.6,8232308.64,8.93e-05,9,77,1,64,15,1000,55,0,10,1,1,"naive_nutrient_B_s55l64L15T1000N10_parameters.csv",55,844.74056869894,117095.71097578,944.9442,154951.487035064,0.898314238752936,0.003026824790656,32.0073579153959,289657.279329706,31.3972300864247,288601.43428425,0.100333150807235,7.7e-34,31.756341009011,293947.768499048,31.7430448599437,292207.042374371,858.2843280937,935,0.100333150807235,0.917951153041391,"ringchains"
"57",56,12.5367858427668,9.526957210456,0.10774133030289,0.016600222922998,16,8098.1,14469626.49,8.93e-05,42,224,1,64,15,1000,56,0,10,1,1,"naive_nutrient_B_s56l64L15T1000N10_parameters.csv",56,731.106572351381,131476.558695443,3066.6519,2264099.98052444,0.401836893996312,0.12041036139349,31.4381606041377,249788.26967097,31.339256078799,249742.516545107,0.10774133030289,1.93e-34,31.5,150607.573447313,31.5,150607.573447313,441.340874570882,4096,0.10774133030289,0.107749236955782,"ringchains"
"58",57,13,10.9158157489705,0.093036227390127,0.01785438959213,7,9043.4,8235752.04,8.93e-05,3,93,1,64,15,1000,57,0,10,1,1,"naive_nutrient_B_s57l64L15T1000N10_parameters.csv",57,980.833512591338,302002.197966577,1103.6411,384846.321522942,0.893301925098027,0.004063087085858,31.7628638154159,337314.992423671,31.6648552154681,333383.81996336,0.093036227390127,7.7e-34,32.0055445492533,204295.407890657,31.4277850827147,199243.910551507,583.75049000405,624,0.093036227390127,0.935497580134695,"rings"
"59",58,12.85246988431,9.0356784050336,0.109977666316808,0.017035236783491,7,8098.3,14466608.01,8.93e-05,46,173,1,64,15,1000,58,0,10,1,1,"naive_nutrient_B_s58l64L15T1000N10_parameters.csv",58,919.313373763472,169704.753702744,1030.2119,212464.598858276,0.89454499863442,0.003161923064858,31.3081031600253,311721.575336538,31.536603549894,315281.030550757,0.109977666316808,1.93e-34,30.339739340872,263368.388295106,31.4797089897111,260731.816833536,775.89025455501,943,0.109977666316808,0.822789241309661,"rings"
"60",59,13.0521793051472,5.94842150822803,0.097465035409877,0.017971101975547,21,8099.2,14453114.76,8.93e-05,1,196,1,64,15,1000,59,0,10,1,1,"naive_nutrient_B_s59l64L15T1000N10_parameters.csv",59,1032.7947107057,301410.46116471,1129.0921,355380.497067297,0.91558749255661,0.002260415597994,30.9521136113466,350613.332608115,31.4230137026268,353488.385037428,0.097465035409877,1.93e-34,31.1365873966088,213231.712032858,30.5804003307925,217215.776409547,630.710730082155,682,0.097465035409877,0.924795791909318,"rings"
"61",60,14.4553389672207,8.43551996655648,0.091935636221086,0.013335416143615,12,10000,0,8.93e-05,2,54,1,64,20,1000,60,0,10,1,1,"naive_nutrient_B_s60l64L20T1000N10_parameters.csv",60,607.734573623126,15073.1515451218,679.0906,24535.3783294729,0.900292672593481,0.002872407782403,31.9038702434528,208162.702820087,31.4242638969309,204825.717781178,0.091935636221086,1.93e-34,31.9662262903773,206885.330757136,31.2591267703976,203821.199971056,606.640054189506,682,0.091935636221086,0.889501545732414,"rings"
"62",61,13,10,0.120599555268114,0.019986020050615,4,10000,0,8.93e-05,1,25,1,64,20,1000,61,0,10,1,1,"naive_nutrient_B_s61l64L20T1000N10_parameters.csv",61,753.973664700856,56190.6348265911,821.6771,77059.0705426443,0.922845580151957,0.003304421568688,31.6740130697226,254374.28842066,31.6032984847783,258463.534774689,0.120599555268114,1.93e-34,31.5487109404444,228840.09869608,31.729587285976,232560.326490038,680.702332281473,718,0.120599555268114,0.948053387578654,"rings"
"63",62,13,10.1382812512962,0.109650342539546,0.015,3,10000,0,8.93e-05,0,18,1,64,20,1000,62,0,10,1,1,"naive_nutrient_B_s62l64L20T1000N10_parameters.csv",62,659.118052981423,5576.19418823826,729.6484,9865.62974041404,0.905815846619264,0.002816656856633,31.0124822969615,222688.702723967,31.4295231297131,223923.923719061,0.109650342539546,7.7e-34,31.1656859860359,236256.173653308,31.6061804576288,241203.800091538,703.396702242302,836,0.109650342539546,0.841383615122371,"rings"
"64",63,13.5792752008804,10,0.1324186573071,0.022081798873823,5,10000,0,8.93e-05,0,23,1,64,20,1000,63,0,10,1,1,"naive_nutrient_B_s63l64L20T1000N10_parameters.csv",63,851.636866179712,43822.0072266021,925.2245,59018.2141211621,0.924027516857806,0.003596676488734,31.6554596002199,290370.757635034,31.1245269768941,286194.997782097,0.1324186573071,0,31.5842992561902,259117.002367838,31.7043828234238,259084.131624111,767.035354111588,813,0.1324186573071,0.943462920186455,"rings"
"65",64,13.9689929110367,6.97627200497034,0.11419909523085,0.017113260643061,13,10000,0,8.93e-05,3,71,1,64,20,1000,64,0,10,1,1,"naive_nutrient_B_s64l64L20T1000N10_parameters.csv",64,749.326757836281,44610.9028431625,804.63,54095.8804880488,0.933849919648082,0.002388782071308,32.0991580838251,254875.179751234,31.3850257065197,252910.752998217,0.11419909523085,1.93e-34,31.8446590524337,230289.865142273,31.5348240991406,227882.453027296,671.337929729714,698,0.11419909523085,0.961802191589848,"rings"
"66",65,6.30738885835976,7.55426485142757,0.115420981731838,0.018696668377775,13,10000,0,8.93e-05,3,64,1,64,20,1000,65,0,10,1,1,"naive_nutrient_B_s65l64L20T1000N10_parameters.csv",65,697.170565773638,5657.24997924681,849.8385,6703.26134388439,0.81915084735051,0.001740769376234,31.5010731036923,237560.594704256,31.7224460399569,238019.352186448,0.115420981731838,7.7e-34,31.4518287997253,232336.291613359,31.8407861844649,234825.624498548,682.206020675739,801,0.115420981731838,0.851692909707539,"rings"
