,qualitative,N,T,L,count
580,slow_dissolve,10000,1000,15,3
581,slow_dissolve,10000,10000,15,1
582,slow_dissolve,10000,100,20,3
583,slow_dissolve,10000,1000,20,1
584,slow_dissolve,10000,10000,20,0
585,slow_dissolve,10000,100,30,0
586,slow_dissolve,10000,1000,30,2
587,slow_dissolve,10000,10000,30,1
588,slow_dissolve,100000,100,10,0
589,slow_dissolve,100000,1000,10,2
590,slow_dissolve,100000,10000,10,2
591,slow_dissolve,100000,100,15,1
592,slow_dissolve,100000,1000,15,3
593,slow_dissolve,100000,10000,15,2
594,slow_dissolve,100000,100,20,1
595,slow_dissolve,100000,1000,20,2
596,slow_dissolve,100000,10000,20,0
597,slow_dissolve,100000,100,30,1
598,slow_dissolve,100000,1000,30,1
599,slow_dissolve,100000,10000,30,1
600,projection,10,100,10,0
601,projection,10,1000,10,0
602,projection,10,10000,10,0
603,projection,10,100,15,0
604,projection,10,1000,15,0
605,projection,10,10000,15,0
606,projection,10,100,20,0
607,projection,10,1000,20,0
608,projection,10,10000,20,0
609,projection,10,100,30,0
610,projection,10,1000,30,0
611,projection,10,10000,30,0
612,projection,100,100,10,0
613,projection,100,1000,10,0
614,projection,100,10000,10,0
615,projection,100,100,15,0
616,projection,100,1000,15,0
617,projection,100,10000,15,0
618,projection,100,100,20,0
619,projection,100,1000,20,0
620,projection,100,10000,20,0
621,projection,100,100,30,0
622,projection,100,1000,30,0
623,projection,100,10000,30,0
624,projection,1000,100,10,0
625,projection,1000,1000,10,0
626,projection,1000,10000,10,0
627,projection,1000,100,15,0
628,projection,1000,1000,15,0
629,projection,1000,10000,15,0
630,projection,1000,100,20,0
631,projection,1000,1000,20,0
632,projection,1000,10000,20,0
633,projection,1000,100,30,0
634,projection,1000,1000,30,0
635,projection,1000,10000,30,0
636,projection,10000,100,10,0
637,projection,10000,1000,10,1
638,projection,10000,10000,10,1
639,projection,10000,100,15,1
640,projection,10000,1000,15,1
641,projection,10000,10000,15,1
642,projection,10000,100,20,0
643,projection,10000,1000,20,0
644,projection,10000,10000,20,0
645,projection,10000,100,30,1
646,projection,10000,1000,30,0
647,projection,10000,10000,30,0
648,projection,100000,100,10,0
649,projection,100000,1000,10,2
650,projection,100000,10000,10,1
651,projection,100000,100,15,0
652,projection,100000,1000,15,1
653,projection,100000,10000,15,1
654,projection,100000,100,20,0
655,projection,100000,1000,20,0
656,projection,100000,10000,20,0
657,projection,100000,100,30,0
658,projection,100000,1000,30,0
659,projection,100000,10000,30,0
660,ghost,10,100,10,0
661,ghost,10,1000,10,0
662,ghost,10,10000,10,0
663,ghost,10,100,15,0
664,ghost,10,1000,15,0
665,ghost,10,10000,15,0
666,ghost,10,100,20,0
667,ghost,10,1000,20,0
668,ghost,10,10000,20,0
669,ghost,10,100,30,0
670,ghost,10,1000,30,0
671,ghost,10,10000,30,0
672,ghost,100,100,10,0
673,ghost,100,1000,10,0
674,ghost,100,10000,10,0
675,ghost,100,100,15,0
676,ghost,100,1000,15,0
677,ghost,100,10000,15,0
678,ghost,100,100,20,0
679,ghost,100,1000,20,0
680,ghost,100,10000,20,0
681,ghost,100,100,30,0
682,ghost,100,1000,30,0
683,ghost,100,10000,30,0
684,ghost,1000,100,10,0
685,ghost,1000,1000,10,0
686,ghost,1000,10000,10,0
687,ghost,1000,100,15,0
688,ghost,1000,1000,15,0
689,ghost,1000,10000,15,0
690,ghost,1000,100,20,0
691,ghost,1000,1000,20,0
692,ghost,1000,10000,20,0
693,ghost,1000,100,30,0
694,ghost,1000,1000,30,0
695,ghost,1000,10000,30,0
696,ghost,10000,100,10,0
697,ghost,10000,1000,10,0
698,ghost,10000,10000,10,0
699,ghost,10000,100,15,0
700,ghost,10000,1000,15,0
701,ghost,10000,10000,15,0
702,ghost,10000,100,20,0
703,ghost,10000,1000,20,0
704,ghost,10000,10000,20,0
705,ghost,10000,100,30,0
706,ghost,10000,1000,30,1
707,ghost,10000,10000,30,0
708,ghost,100000,100,10,0
709,ghost,100000,1000,10,0
710,ghost,100000,10000,10,0
711,ghost,100000,100,15,0
712,ghost,100000,1000,15,0
713,ghost,100000,10000,15,0
714,ghost,100000,100,20,1
715,ghost,100000,1000,20,2
716,ghost,100000,10000,20,0
717,ghost,100000,100,30,0
718,ghost,100000,1000,30,0
719,ghost,100000,10000,30,0
